"Id";"SteamId";"Kits";"Points";"TotalSpent"
1;76561198028705139;"{}";28810;0
2;76561197986449429;"{}";6145;0
3;76561198174362051;"{}";2730;0
4;76561197973829097;"{}";1780;0
5;76561197963418279;"{}";5960;0
6;76561198006897574;"{}";8395;0
7;76561198200350655;"{}";2445;0
8;76561198014775321;"{}";3;0
9;76561198034753681;"{}";6581;0
10;76561198008711611;"{}";11660;0
11;76561197996577645;"{}";1730;0
12;76561198018666343;"{}";735;0
13;76561197985656151;"{}";3540;0
14;76561197977555494;"{}";6140;0
15;76561197993988683;"{}";6030;0
16;76561198257782962;"{}";290;0
17;76561198170178558;"{}";500;0
18;76561197997019503;"{}";6480;0
19;76561198178633722;"{}";2765;0
20;76561198255237970;"{}";7325;0
21;76561198083334285;"{}";1215;0
22;76561198036034263;"{}";2725;0
23;76561198016064021;"{}";235;0
24;76561198253289481;"{}";1915;0
25;76561198075044991;"{}";13125;0
26;76561198052691953;"{}";1210;0
27;76561198289130223;"{}";405;0
28;76561197961347906;"{}";5047;0
29;76561198129842008;"{}";2180;0
30;76561198147957344;"{}";3409;0
31;76561198152676936;"{}";120;0
32;76561198194556678;"{}";3805;0
33;76561198054289758;"{}";675;0
34;76561198204024133;"{}";1520;0
35;76561197987263259;"{}";3765;0
36;76561198155607327;"{}";345;0
37;76561198102742098;"{}";5775;0
38;76561198292927599;"{}";1365;0
39;76561197974404168;"{}";2251;0
40;76561198202985820;"{}";315;0
41;76561198288819670;"{}";1666;0
42;76561198078975508;"{}";2228;0
43;76561198034190801;"{}";700;0
44;76561198085179074;"{}";1970;0
45;76561197998626278;"{}";5310;0
46;76561198294073828;"{}";3456;0
47;76561198103485557;"{}";685;0
48;76561198039104037;"{}";5953;0
49;76561198056568513;"{}";30;0
50;76561198072538363;"{}";1050;0
51;76561198211271144;"{}";510;0
52;76561197964799687;"{}";555;0
53;76561198168977492;"{}";135;0
54;76561198052073557;"{}";450;0
55;76561198113236759;"{}";405;0
56;76561198051392632;"{}";105;0
57;76561198023982550;"{}";675;0
58;76561198117951626;"{}";4625;0
59;76561198215988755;"{}";105;0
60;76561197986721142;"{}";885;0
61;76561198066003082;"{}";3190;0
62;76561198363124299;"{}";735;0
63;76561198223059708;"{}";105;0
64;76561198052635376;"{}";420;0
65;76561198070828829;"{}";1425;0
66;76561197982483394;"{}";105;0
67;76561197980320627;"{}";915;0
68;76561198072300339;"{}";9180;0
69;76561197997478447;"{}";1260;0
70;76561197970945311;"{}";930;0
71;76561198138585704;"{}";1380;0
72;76561198052467460;"{}";105;0
73;76561198410564754;"{}";165;0
74;76561198075769688;"{}";1275;0
